Modelo,ROC-AUC Médio (CV),Variação (+/-)
Regressão Logística (Linear),0.8456755887422908,0.013810188911490218
MLPClassifier (Rede Neural),0.8361134599203279,0.012961853935520344
Random Forest (Árvore),0.824747378706447,0.010777083259334418
